Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0803,BCH121,C0803BCH121
Module Loop Blue,Blue,Module,C0803,BCL108,C0803BCL108
Module Loop Blue,Blue,Module,C0803,RDC010,C0803RDC010
Module Loop Blue,Blue,Module,C0803,RDC104,C0803RDC104
Module Loop Blue,Blue,Module,C0803,RDC107,C0803RDC107
Module Loop Blue,Blue,Module,C0803,RDC110,C0803RDC110
Module Loop Blue,Blue,Module,C0803,STA105,C0803STA105
Module Loop Blue,Blue,Module,C0804,ACH123,C0804ACH123
Module Loop Blue,Blue,Module,C0804,ACH125,C0804ACH125
Module Loop Blue,Blue,Module,C0804,ACH133,C0804ACH133
Module Loop Blue,Blue,Module,C0804,ACH143,C0804ACH143
Module Loop Blue,Blue,Module,C0804,ACL127,C0804ACL127
Module Loop Blue,Blue,Module,C0804,ACL128,C0804ACL128
Module Loop Blue,Blue,Module,C0804,ACL135,C0804ACL135
Module Loop Blue,Blue,Module,C0804,ACL145,C0804ACL145
Module Loop Blue,Blue,Module,C0804,ACL210,C0804ACL210
Module Loop Blue,Blue,Module,C0804,BCL204,C0804BCL204
Module Loop Blue,Blue,Module,C0804,RDC131,C0804RD0131
Module Loop Blue,Blue,Module,C0804,RDC129,C0804RDC129
Module Loop Blue,Blue,Module,C0804,RDC136,C0804RDC136
Module Loop Blue,Blue,Module,C0804,RDC138,C0804RDC138
Module Loop Blue,Blue,Module,C0804,RDC140,C0804RDC140
Module Loop Blue,Blue,Module,C0804,RDC142,C0804RDC142
Module Loop Blue,Blue,Module,C0804,RDC146,C0804RDC146
Module Loop Blue,Blue,Module,C0804,RDC148,C0804RDC148
Module Loop Blue,Blue,Module,C0804,RDC150,C0804RDC150
Module Loop Blue,Blue,Module,C0804,RDC202,C0804RDC202
Module Loop Blue,Blue,Module,C0804,RDC205,C0804RDC205
Module Loop Blue,Blue,Module,C0804,RDC209,C0804RDC209
Module Loop Blue,Blue,Module,C0804,RDC211,C0804RDC211
Module Loop Blue,Blue,Module,C0804,RDC212,C0804RDC212
Module Loop Blue,Blue,Module,C0804,RDC214,C0804RDC214
Module Loop Blue,Blue,Module,C0804,STA124,C0804STA124
Module Loop Blue,Blue,Module,C0804,STA126,C0804STA126
Module Loop Blue,Blue,Module,C0804,STA130,C0804STA130
Module Loop Blue,Blue,Module,C0804,STA132,C0804STA132
Module Loop Blue,Blue,Module,C0804,STA139,C0804STA139
Module Loop Blue,Blue,Module,C0804,STA141,C0804STA141
Module Loop Blue,Blue,Module,C0804,STA144,C0804STA144
Module Loop Blue,Blue,Module,C0804,STA149,C0804STA149
Module Loop Blue,Blue,Module,C0804,STA151,C0804STA151
Module Loop Blue,Blue,Module,C0804,STA201,C0804STA201
Module Loop Blue,Blue,Module,C0804,STA203,C0804STA203
Module Loop Blue,Blue,Module,C0804,STA208,C0804STA208
Module Loop Blue,Blue,Module,C0804,STA213,C0804STA213
